State,Accidents,Injuries,Fatalities
Andhra Pradesh,21070,21340,8293
Arunachal Pradesh,215,177,152
Assam,7028,5679,3060
Bihar,10801,7068,8898
Chhattisgarh,13091,11459,5890
Goa,3012,1071,274
Gujarat,15777,15139,7634
Haryana,10654,8353,5228
Himachal Pradesh,2484,3891,979
Jharkhand,5175,3747,3898
Karnataka,39765,48154,11705
Kerala,43592,49317,4317
Madhya Pradesh,51965,51264,13918
Maharashtra,30546,23878,15748
Manipur,508,817,127
Meghalaya,246,310,162
Mizoram,71,28,83
Nagaland,24,42,22
Odisha,11663,10269,5470
Punjab,6122,3372,4688
Rajasthan,23620,22249,11103
Sikkim,199,371,98
Tamil Nadu,64105,67703,17884
Telangana,21619,20209,7559
Tripura,575,541,241
Uttar Pradesh,36875,21696,24109
Uttarakhand,1674,1613,1042
West Bengal,10635,8124,5788
Total (States),433111,407881,168370
Andaman and Nicobar Islands,141,136,19
Chandigarh,238,203,83
Dadra and Nicoabr Haveli and Daman and Diu,175,257,80
Delhi,5560,4713,1461
Jammu and Kashmir,6090,8350,838
Ladakh,268,333,66
Lakshadweep,4,3,2
Puducherry,1181,1282,181
Total (UTs),13657,15277,2730
Total (All India),446768,423158,171100
Agra,729,91,698
Ahmedabad,1711,1305,488
Amritsar,117,62,82
Asansol,497,308,365
Aurangabad,491,352,204
Bengaluru,3822,3189,772
Bhopal,2788,2151,205
Chandigarh (city),238,203,83
Chennai,3452,3724,507
Coimbatore,1085,939,272
Delhi (city),5387,4572,1412
Dhanbad,179,73,114
Durg Bhilainagar,789,601,145
Faridabad,629,448,302
Ghaziabad,883,661,362
Gwalior,1219,1096,151
Hyderabad,2516,2252,323
Indore,3317,2731,282
Jabalpur,2460,2439,167
Jaipur,2687,2162,765
Jamshedpur,167,115,68
Jodhpur,686,505,267
Kannur,1635,2118,149
Kanpur,1595,955,640
Kochi,2432,2362,156
Kolkata,1037,816,217
Kollam,2083,2176,214
Kota,444,431,111
Kozhikode,2054,2163,195
Lucknow,1408,994,643
Ludhiana,467,174,364
Madurai,744,601,192
Malappuram,870,1098,116
Meerut,451,443,149
Mumbai,538,4,538
Nagpur,1181,987,335
Nasik,190,49,201
Patna,275,121,198
Prayagraj +,1370,886,603
Pune,387,107,343
Raipur,1021,575,186
Rajkot,498,422,150
Ranchi,175,111,90
Srinagar,426,438,53
Surat,683,553,293
Thiruvananthapuram,1825,1910,171
Thrissur,2374,2711,210
Tiruchirappalli,542,624,149
Vadodara,478,378,181
Varanasi,133,86,145
Vasai Virar,342,213,165
Vijayawada,1543,1367,418
Vishakhapatnam,1352,1288,358
Total (Cities),66402,57140,15967
